Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2179,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Reconciliation_Job,Monthly,OK,nan,92 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
AutomaticDashboard,Monthly,OK,nan,686 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Management Fees Calculation,Monthly,OK,nan,10 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Success Fees Calculation,Monthly,OK,nan,10 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Ratios Job,Monthly,OK,nan,78 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Sections Job,Monthly,OK,nan,88  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:47 N° of TA in MegaCompliance D-1:58,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 2 N° of clients in MegaCompliance D-1:2,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,714  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -07032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10614,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5190,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 52,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1654,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Reconciliation_Job,Monthly,OK,nan,9 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
AutomaticDashboard,Monthly,OK,nan,670 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,3  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Management Fees Calculation,Monthly,PDTE,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Success Fees Calculation,Monthly,PDTE,nan,6  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Ratios Job,Monthly,PDTE,nan,67 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Sections Job,Monthly,PDTE,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Investment Policy Job Default,Monthly,OK,nan,3 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Derivative Price Control Process,Daily,PDTE,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Fees Reconciliation Job,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:46 N° of TA in MegaCompliance D-1:81,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 2 N° of clients in MegaCompliance D-1:2,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,423  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -08012025 - Copy.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10605,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5201,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 153,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1671,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Reconciliation_Job,Monthly,OK,nan,10 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
AutomaticDashboard,Monthly,OK,nan,671 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,4  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,1  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Ratios Job,Monthly,PDTE,nan,70 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Sections Job,Monthly,PDTE,nan,4 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,4 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,663,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Fees Reconciliation Job,Monthly,PDTE,nan,1 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:205 N° of TA in MegaCompliance D-1:264,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,342  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -09012025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10971,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5278,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 123,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2048,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Reconciliation_Job,Monthly,OK,nan,10 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,3  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,3  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Ratios Job,Monthly,PDTE,nan,71 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Sections Job,Monthly,PDTE,nan,5 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:100 N° of TA in MegaCompliance D-1:171,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 2 N° of clients in MegaCompliance D-1:2,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,635  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11214,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 15302,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 164,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2179,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Reconciliation_Job,Monthly,OK,nan,118 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
AutomaticDashboard,Monthly,OK,nan,686 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,10 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Management Fees Calculation,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Success Fees Calculation,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Ratios Job,Monthly,OK,nan,132 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Sections Job,Monthly,OK,nan,2  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:558 N° of TA in MegaCompliance D-1:113,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,883  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -10032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10978,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5284,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 89,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2088,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Reconciliation_Job,Monthly,OK,nan,4 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,5 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,2  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,2  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Ratios Job,Monthly,PDTE,nan,68 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Sections Job,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:172 N° of TA in MegaCompliance D-1:172,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,765  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -11022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11235,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5376,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 291,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2376,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Reconciliation_Job,Monthly,OK,nan,112 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
AutomaticDashboard,Monthly,OK,nan,686 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,55 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,55 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,55 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Ratios Job,Monthly,PDTE,nan,70 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Sections Job,Monthly,PDTE,nan,55  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,55 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,217,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Derivative Price Control Process,Daily,OK,nan,62,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:527 N° of TA in MegaCompliance D-1:614,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,691  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -12032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10684,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5205,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 69,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1678,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
AutomaticDashboard,Monthly,OK,nan,671 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Ratios Job,Monthly,PDTE,nan,69 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Sections Job,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,511,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,10,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:231 N° of TA in MegaCompliance D-1:415,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 2 N° of clients in MegaCompliance D-1:2,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,473  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13012025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11032,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5293,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 99,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2140,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
